CD_DIRETORIA,NM_DIRETORIA,APR_1,REP_1,ABA_1,APR_2,REP_2,ABA_2,APR_3,REP_3,ABA_3
20511,TAQUARITINGA,100,0,0,99.93,0.07,0,99.79,0.1,0.11
20311,PIRAJU,0,0,0,99.65,0.35,0,99.01,0.95,0.04
20803,BIRIGUI,0,0,0,99.76,0.24,0,99.15,0.83,0.02
21001,ASSIS,100,0,0,98.87,1.1,0.03,96.87,3.04,0.09
20411,PIRASSUNUNGA,100,0,0,99.44,0.51,0.05,98.23,1.59,0.18
20206,TAUBATE,100,0,0,98.15,1.2,0.65,95.13,3.72,1.15
10104,NORTE 2,99.39,0.6,0.01,98.84,0.6,0.56,98.61,1.15,0.24
20306,ITU,99.89,0.11,0,98.54,1.31,0.15,98.24,1.43,0.33
21004,OURINHOS,99.05,0.95,0,98.75,1.23,0.02,98.33,1.48,0.19
20506,JABOTICABAL,0,0,0,99.79,0,0.21,99.18,0.01,0.81
20512,SERTAOZINHO,100,0,0,99.04,0.96,0,97.84,2.16,0
20904,PRESIDENTE PRUDENTE,100,0,0,97.67,2.3,0.03,97.07,2.86,0.07
20804,PENAPOLIS,100,0,0,99.75,0.25,0,99.42,0.54,0.04
20704,JOSE BONIFACIO,99.92,0.08,0,98.78,0.67,0.55,98.06,1.57,0.37
10602,MAUA,99.71,0.27,0.02,99.38,0.6,0.02,98.94,1.01,0.05
10101,NORTE 1,99.41,0.56,0.03,98.57,1.32,0.11,95.93,3.81,0.26
20303,BOTUCATU,100,0,0,98.41,1.52,0.07,96.78,2.79,0.43
10316,CENTRO SUL,99.44,0.5,0.06,98.86,1.06,0.08,98.03,1.87,0.1
10702,ITAPECERICA DA SERRA,99.8,0,0.2,99.89,0.03,0.08,99.59,0.15,0.26
10207,LESTE 1,99.09,0.84,0.07,98.75,1.16,0.09,97.29,2.59,0.12
10502,SUZANO,99.87,0.07,0.06,99.3,0.56,0.14,98.57,1.28,0.15
10402,GUARULHOS SUL,98.33,1.46,0.21,97.56,2.33,0.11,96.23,3.32,0.45
10210,LESTE 2,99.54,0.23,0.23,98.57,0.97,0.46,96.51,2.06,1.43
20103,SAO VICENTE,98.65,1.35,0,97.15,1.78,1.07,97.05,1.78,1.17
20403,BRAGANCA PAULISTA,99.91,0.09,0,99.93,0.06,0.01,99.67,0.3,0.03
20415,SUMARE,99.67,0.33,0,99.28,0.68,0.04,98.77,0.99,0.24
20601,BAURU,99.24,0.71,0.05,98.57,1.38,0.05,98.16,1.71,0.13
20701,CATANDUVA,0,0,0,99.96,0.04,0,99.92,0.08,0
20801,ANDRADINA,0,0,0,99.85,0.15,0,99.79,0.21,0
20409,MOGI MIRIM,99.85,0.15,0,98.81,1.14,0.05,97.53,1.95,0.52
20901,ADAMANTINA,66.67,33.33,0,99.78,0.13,0.09,99.63,0.04,0.33
20509,SAO CARLOS,99.97,0,0.03,99.96,0,0.04,99.85,0.02,0.13
10102,CENTRO,98.82,1.02,0.16,97.7,2.26,0.04,97.79,2.12,0.09
20304,ITAPETININGA,99.58,0.42,0,99.27,0.7,0.03,97.72,2.24,0.04
10703,ITAPEVI,0,0,0,99.64,0.18,0.18,99.66,0.14,0.2
10503,ITAQUAQUECETUBA,100,0,0,98.73,1.21,0.06,98.16,1.78,0.06
10603,SANTO ANDRE,99.01,0.98,0.01,98.03,1.58,0.39,96.96,2.6,0.44
10208,LESTE 4,99.59,0.4,0.01,97.77,2.16,0.07,95.63,4.27,0.1
10211,LESTE 3,98.24,0.59,1.17,97.96,1.17,0.87,96.86,2.06,1.08
20504,FRANCA,99.57,0.41,0.02,98.92,0.95,0.13,97.95,1.74,0.31
20404,CAMPINAS OESTE,99.73,0.13,0.14,99.58,0.34,0.08,99.07,0.72,0.21
20710,SAO JOSE DO RIO PRETO,0,0,0,99.48,0.52,0,97.98,1.91,0.11
20604,LINS,99.95,0.03,0.02,99.23,0.04,0.73,98.28,0.05,1.67
20410,PIRACICABA,99.88,0.12,0,99.25,0.38,0.37,98.78,0.96,0.26
20908,SANTO ANASTACIO,98.54,1.28,0.18,98.26,1.69,0.05,95.78,4.22,0
20802,ARACATUBA,100,0,0,99.6,0.2,0.2,99.51,0.32,0.17
21102,REGISTRO,100,0,0,99.69,0.26,0.05,99.08,0.9,0.02
20510,SAO JOAQUIM DA BARRA,99.87,0.13,0,98.16,1.84,0,97.84,1.9,0.26
10314,SUL 2,98.89,0.79,0.32,97.55,2.11,0.34,96.5,3.2,0.3
20301,APIAI,100,0,0,99.91,0.09,0,99.64,0.3,0.06
