ANO_LETIVO;CD_DIRETORIA;NM_DIRETORIA;APR_1;REP_1;ABA_1;APR_2;REP_2;ABA_2;APR_3;REP_3;ABA_3
2022;10102;CENTRO;99,13;0,51;0,36;96,02;3,47;0,51;91,16;7,33;1,51
2022;20304;ITAPETININGA;99,9;0;0,1;98,82;0,96;0,22;96,44;2,54;1,02
2022;10703;ITAPEVI;0;0;0;95,66;3,58;0,76;90,23;7,51;2,26
2022;10503;ITAQUAQUECETUBA;99,33;0,67;0;96,61;2,83;0,56;91,66;6,94;1,4
2022;10603;SANTO ANDRE;98,65;1,26;0,09;96,97;2,78;0,25;91,58;7,51;0,91
2022;10208;LESTE 4;99,3;0,39;0,31;95,9;3,44;0,66;84,29;12,4;3,31
2022;10211;LESTE 3;98,29;0,87;0,84;94,02;3,79;2,19;83,78;8,93;7,29
2022;20504;FRANCA;99,79;0,18;0,03;98,3;1,12;0,58;94,01;4,01;1,98
2022;20404;CAMPINAS OESTE;99;0,67;0,33;96,05;2,73;1,22;90,11;6,07;3,82
2022;20710;SAO JOSE DO RIO PRETO;100;0;0;97,7;2,07;0,23;92,01;5,93;2,06
2022;20604;LINS;98,59;1,38;0,03;97,84;1,54;0,62;89,85;6,2;3,95
2022;20410;PIRACICABA;99,83;0,17;0;98,85;0,59;0,56;96,32;1,56;2,12
2022;20908;SANTO ANASTACIO;99,71;0,29;0;97,3;2,37;0,33;86,62;8,46;4,92
2022;20802;ARACATUBA;100;0;0;99,57;0,29;0,14;98,08;1,49;0,43
2022;21102;REGISTRO;97,44;2,56;0;97,66;1,86;0,48;92,85;5,06;2,09
2022;20510;SAO JOAQUIM DA BARRA;99,73;0,27;0;98,84;0,7;0,46;94,48;3,95;1,57
2022;10314;SUL 2;99,53;0,22;0,25;96,38;2,88;0,74;90,64;7,48;1,88
2022;20301;APIAI;99,64;0,24;0,12;99,13;0,34;0,53;97,25;1,65;1,1
2022;10606;SAO BERNARDO DO CAMPO;68;0;32;96,77;2,71;0,52;89,2;9,53;1,27
2022;10205;LESTE 5;99,71;0,24;0,05;95,99;3,58;0,43;87,34;10,88;1,78
2022;20407;JUNDIAI;0;0;0;98,47;1,29;0,24;95,2;3,54;1,26
2022;20501;ARARAQUARA;99,89;0,06;0,05;97,83;1,76;0,41;91,9;6,32;1,78
2022;10706;TABOAO DA SERRA;99,91;0,02;0,07;98,2;1,24;0,56;94,01;4,27;1,72
2022;20401;AMERICANA;99,67;0,27;0,06;97,97;1,41;0,62;90,82;5,8;3,38
2022;20507;RIBEIRAO PRETO;98,38;1,15;0,47;93,41;4,55;2,04;83,53;10,96;5,51
2022;10601;DIADEMA;99,85;0,12;0,03;98,92;1,03;0,05;95,39;3,64;0,97
2022;20419;CAPIVARI;0;0;0;97,63;1,39;0,98;93,67;3,29;3,04
2022;20204;PINDAMONHANGABA;0;0;0;99,4;0,48;0,12;94,06;4,57;1,37
2022;10317;SUL 1;99,57;0,28;0,15;94,81;4,43;0,76;87,57;9,94;2,49
2022;10701;CARAPICUIBA;99,16;0,48;0,36;96,33;2,36;1,31;90,43;6,7;2,87
2022;10403;GUARULHOS NORTE;99,7;0,15;0,15;97,25;2,24;0,51;89,22;8,98;1,8
2022;20502;BARRETOS;0;0;0;99,69;0,2;0,11;98,53;1,13;0,34
2022;21006;TUPA;99,71;0,29;0;98,78;1,01;0,21;95,02;4,23;0,75
2022;20602;JAU;100;0;0;98,08;1,79;0,13;95,57;3,81;0,62
2022;20310;VOTORANTIM;100;0;0;98,48;0,52;1;94,45;1,75;3,8
2022;20702;FERNANDOPOLIS;100;0;0;99,32;0,51;0,17;98,7;0,99;0,31
2022;20207;JACAREI;100;0;0;98,08;1,55;0,37;90,5;6,65;2,85
2022;10704;OSASCO;100;0;0;96,3;2,87;0,83;89,52;7,61;2,87
2022;20413;SAO JOAO DA BOA VISTA;99,73;0,27;0;96,88;2,31;0,81;89,13;7,98;2,89
2022;20711;VOTUPORANGA;100;0;0;99,48;0,19;0,33;96,15;1,72;2,13
2022;20307;SAO ROQUE;0;0;0;98,78;1,1;0,12;94,97;4,03;1
2022;21003;MARILIA;99,73;0,13;0,14;98,41;1,19;0,4;92,4;6,12;1,48
2022;20313;ITARARE;99,92;0,08;0;98,88;0,64;0,48;93,84;2,41;3,75
2022;20703;JALES;99,63;0,37;0;99,21;0,77;0,02;97,26;2,64;0,1
2022;20417;CAMPINAS LESTE;99,8;0,16;0,04;97,83;2,04;0,13;92,58;6,9;0,52
2022;20208;CARAGUATATUBA;100;0;0;99,16;0,84;0;96,84;3,13;0,03
2022;20302;AVARE;100;0;0;97,94;1,5;0,56;91,57;5,43;3
2022;20202;GUARATINGUETA;100;0;0;96,11;3,27;0,62;87,77;10,52;1,71
2022;10401;CAIEIRAS;99,86;0;0,14;98,36;1,33;0,31;96,73;2,09;1,18
2022;10501;MOGI DAS CRUZES;99,69;0,31;0;97,97;1,33;0,7;91,99;5,28;2,73
2022;20408;LIMEIRA;99,76;0,16;0,08;98,92;0,35;0,73;97;1,3;1,7
2022;20102;SANTOS;99,62;0,2;0,18;98,23;0,76;1,01;95,67;2,13;2,2
2022;20308;SOROCABA;99,89;0,09;0,02;98,86;0,71;0,43;94,98;2,81;2,21
2022;20205;SAO JOSE DOS CAMPOS;99,47;0,41;0,12;96,94;2,65;0,41;91,42;7,5;1,08
2022;10318;SUL 3;98,78;0,89;0,33;93,62;5,45;0,93;86,14;11,89;1,97
2022;10312;CENTRO OESTE;99,66;0,26;0,08;97,75;1,76;0,49;88,61;9,57;1,82
