ANO_LETIVO;NM_DIRETORIA;NM_MUNICIPIO;CD_REDE_ENSINO;CD_ESCOLA;NM_COMPLETO_ESCOLA;CD_TP_IDENTIFICADOR;APR_1;REP_1;ABA_1;APR_2;REP_2;ABA_2;APR_3;REP_3;ABA_3
2021;PIRAJU;PIRAJU;1;34320;JOAQUIM GUILHERME MOREIRA PORTO DOUTOR;8;0;0;0;100;0;0;100;0;0
2021;PIRAJU;PIRAJU;1;34344;QUINZINHO CAMARGO PREFEITO;8;0;0;0;99,56;0,44;0;94;2;4
2021;PIRAJU;PIRAJU;1;34356;NHONHO BRAGA CORONEL;8;0;0;0;100;0;0;100;0;0
2021;PIRAJU;PIRAJU;1;34459;ATALIBA LEONEL;8;0;0;0;100;0;0;100;0;0
2021;AMERICANA;AMERICANA;1;17152;MAURA ARRUDA GUIDOLIN PROFA;8;100;0;0;0;0;0;0;0;0
2021;AMERICANA;AMERICANA;1;17164;JOAO DE CASTRO GONCALVES DR;8;100;0;0;0;0;0;0;0;0
2021;AMERICANA;AMERICANA;1;17176;MAGI MONSENHOR;8;94,74;5,26;0;93,35;6,65;0;79,82;19,29;0,89
2021;ITARARE;ITABERA;1;39718;ALBERTO PEREIRA PROFESSOR;8;0;0;0;100;0;0;100;0;0
2021;ITARARE;ITABERA;1;437748;BAIRRO ENGENHEIRO MAIA II;8;0;0;0;100;0;0;100;0;0
2021;ITARARE;ITABERA;1;903206;MARIA TEREZA DE SOUZA FALCARELI PROFESSORA;8;0;0;0;100;0;0;100;0;0
2021;ITARARE;ITABERA;1;910089;DOROTY DAVID MUZEL PROFESSORA;8;100;0;0;0;0;0;0;0;0
2021;ITARARE;ITABERA;1;915105;BAIRRO DO TOME;8;100;0;0;0;0;0;0;0;0
2021;ITARARE;ITABERA;1;916341;BAIRRO ENGENHEIRO MAIA;8;100;0;0;0;0;0;0;0;0
2021;ITARARE;ITABERA;1;918532;JARDIM SANTA INES;8;100;0;0;0;0;0;0;0;0
2021;ITARARE;ITABERA;1;919858;AGROVILA III;36;100;0;0;0;0;0;0;0;0
2021;ITARARE;ITAPORANGA;1;15362;EPITACIO PESSOA;8;0;0;0;99,61;0,19;0,2;98,39;1,61;0
2021;ITARARE;ITAPORANGA;1;40356;OCTAVIO DE ALMEIDA BUENO PROFESSOR;8;0;0;0;100;0;0;100;0;0
2021;ITARARE;ITAPORANGA;1;306526;ALDEIA TEKOA-PORA;10;100;0;0;100;0;0;0;0;0
2021;ITARARE;ITAPORANGA;1;918556;ELISA DE CAMPOS LIMA NOVELLI DONA;8;0;0;0;97,93;0,69;1,38;95,3;1,34;3,36
2021;ITARARE;ITARARE;1;15301;EPAMINONDAS FERREIRA LOBO DOUTOR;8;0;0;0;100;0;0;100;0;0
2021;ITARARE;ITARARE;1;15313;HERCULANO PIMENTEL DOUTOR;8;0;0;0;96,77;2,74;0,49;92,31;6,03;1,66
2021;ITARARE;ITARARE;1;15325;TOME TEIXEIRA;8;0;0;0;98,64;1,36;0;99,14;0,57;0,29
2021;ITARARE;ITARARE;1;15337;HEITOR GUIMARAES CORTES;8;0;0;0;100;0;0;98,08;0;1,92
2021;ITARARE;ITARARE;1;15600;CAETANO CARBONE PROFESSOR;8;0;0;0;99,56;0;0,44;94,96;0;5,04
2021;ITARARE;ITARARE;1;45275;ESTHER CARPINELLI RIBAS PROFESSORA;8;0;0;0;99,2;0,53;0,27;95,88;2,58;1,54
2021;ITARARE;ITARARE;1;49359;CHRISTIANO MARQUES BONILHA PROFESSOR;8;0;0;0;96,15;3,85;0;95,07;4,93;0
2021;ITARARE;RIVERSUL;1;15261;LAZARO SOARES PROFESSOR;8;0;0;0;98,14;0;1,86;96,26;0;3,74
2021;ITARARE;RIVERSUL;1;35300;MIGUEL JOAO PEREIRA PADILHA;8;100;0;0;100;0;0;0;0;0
2021;AMERICANA;AMERICANA;1;11873;LUIZ HIPOLITO PROFESSOR;8;100;0;0;0;0;0;0;0;0
2021;AMERICANA;AMERICANA;1;16949;OCTAVIO SOARES DE ARRUDA PROF;8;99,45;0,55;0;100;0;0;0;0;0
2021;AMERICANA;AMERICANA;1;16950;RISOLETA LOPES ARANHA PROFESSORA;8;0;0;0;100;0;0;100;0;0
2021;AMERICANA;AMERICANA;1;16962;SILVINO JOSE DE OLIVEIRA PROF;8;0;0;0;99,7;0,3;0;100;0;0
2021;AMERICANA;AMERICANA;1;16974;SAO VICENTE DE PAULO;8;100;0;0;0;0;0;0;0;0
2021;AMERICANA;AMERICANA;1;16998;ALCINDO SOARES DO NASCIMENTO PROF;8;100;0;0;0;0;0;0;0;0
2021;AMERICANA;AMERICANA;1;17139;MARIA JOSE DE MATTOS GOBBO PROFA;8;0;0;0;100;0;0;100;0;0
2021;AMERICANA;AMERICANA;1;17140;MARIO PATARRA FRATTINI PROF;8;100;0;0;0;0;0;0;0;0
2021;PIRAJU;PIRAJU;1;49797;MONICA BERNABE GARROTE;8;0;0;0;100;0;0;98,88;0;1,12
2021;PIRAJU;PIRAJU;1;906827;MARIA GONCALVES DA MOTTA;8;0;0;0;100;0;0;100;0;0
2021;PIRAJU;SARUTAIA;1;34319;EDGARDO CARDOSO DOUTOR;8;0;0;0;100;0;0;97,86;0,71;1,43
2021;PIRAJU;TAGUAI;1;34241;JOAO GOBBO SOBRINHO;8;0;0;0;100;0;0;100;0;0
2021;PIRAJU;TEJUPA;1;34236;ORIZENA DE SOUZA ELENA PROFESSORA;8;0;0;0;100;0;0;100;0;0
2021;PIRAJU;TEJUPA;1;906840;ISABEL CRISTINA FAVARO PALMA PROFESSORA;8;0;0;0;100;0;0;100;0;0
2021;PIRAJU;TIMBURI;1;34095;BENTO DE QUEIROZ PADRE;8;0;0;0;99,21;0,79;0;95,18;4,82;0
2021;ITARARE;BARAO DE ANTONINA;1;15581;SANDRA REGINA PIRES PROFESSORA;8;0;0;0;100;0;0;98,36;1,64;0
2021;ITARARE;BARAO DE ANTONINA;1;268574;ALDEIA KARUGWA;10;100;0;0;100;0;0;0;0;0
2021;ITARARE;BARAO DE ANTONINA;1;482419;ALDEIA YWY PYHAU;10;100;0;0;0;0;0;0;0;0
2021;ITARARE;BOM SUCESSO DE ITARARE;1;15283;APARICIO BIGLIA FILHO PROFESSOR;8;0;0;0;100;0;0;100;0;0
2021;ITARARE;CORONEL MACEDO;1;14473;ANTONIO TONON;8;0;0;0;99,58;0;0,42;98,13;0;1,87
2021;ITARARE;ITABERA;1;15436;BARBARA VIDAL CESAR;8;0;0;0;100;0;0;100;0;0
2021;ITARARE;ITABERA;1;15441;GABRIEL PINTO DE FARIA PROFESSOR;8;100;0;0;0;0;0;0;0;0
2021;ITARARE;ITABERA;1;15453;LEONCIO PIMENTEL;8;0;0;0;100;0;0;100;0;0
2021;GUARULHOS NORTE;GUARULHOS;1;914757;MARIA CELIA FALCAO RODRIGUES PROFESSORA;8;0;0;0;96,31;3,69;0;92,78;7,22;0
2021;GUARULHOS NORTE;GUARULHOS;1;916821;PEDRO ROBERTO VAGHI;8;0;0;0;99,92;0;0,08;0;0;0
2021;GUARULHOS NORTE;GUARULHOS;1;916833;ANTONIO ROSAS DA SILVA GALVAO PROFESSOR;8;0;0;0;100;0;0;0;0;0
2021;GUARULHOS NORTE;GUARULHOS;1;921048;FRANCISCO MILTON DE ANDRADE;8;100;0;0;99,78;0,22;0;99,69;0,31;0
2021;GUARULHOS NORTE;GUARULHOS;1;921385;ELISIO DE OLIVEIRA NEVES VEREADOR;8;0;0;0;99,41;0,59;0;98,31;1,69;0
2021;GUARULHOS NORTE;GUARULHOS;1;922171;CIDADE SERODIO;8;0;0;0;100;0;0;0;0;0
2021;GUARULHOS NORTE;GUARULHOS;1;923175;JOAO LUIZ DE GODOY MOREIRA PROFESSOR;8;0;0;0;99,68;0;0,32;99,37;0;0,63
2021;GUARULHOS NORTE;GUARULHOS;1;923187;MARIO BOMBASSEI FILHO PROFESSOR;8;0;0;0;0;0;0;86,48;13,52;0
2021;GUARULHOS NORTE;GUARULHOS;1;923357;LYDIA KITZ MOREIRA;8;0;0;0;97,63;2,37;0;84,06;15,94;0
