ANO_LETIVO;CD_DIRETORIA;NM_DIRETORIA;NM_MUNICIPIO;CD_REDE_ENSINO;CD_ESCOLA;NM_COMPLETO_ESCOLA;CD_TP_IDENTIFICADOR;APR_1;REP_1;ABA_1;APR_2;REP_2;ABA_2;APR_3;REP_3;ABA_3
2022;20410;PIRACICABA;PIRACICABA;1;435491;BENEDICTO EVANGELISTA COSTA PROFESSOR;8;0;0;0;100;0;0;100;0;0
2022;20410;PIRACICABA;PIRACICABA;1;925792;ANIGER FRANCISCO DE MARIA MELILLO DOM;8;0;0;0;100;0;0;0;0;0
2022;20411;PIRASSUNUNGA;ARARAS;1;19902;CESAR LACERDA DE VERGUEIRO SENADOR;8;99,5;0,5;0;0;0;0;0;0;0
2022;20411;PIRASSUNUNGA;ARARAS;1;20059;FRANCISCO GRAZIANO;8;0;0;0;100;0;0;100;0;0
2022;20411;PIRASSUNUNGA;LEME;1;907467;AUGUSTO DE SOUZA SARDINHA;8;0;0;0;100;0;0;100;0;0
2022;20411;PIRASSUNUNGA;PIRASSUNUNGA;1;907492;THEREZINHA RODRIGUES PROFESSORA;8;0;0;0;96,31;0,82;2,87;96;1;3
2022;20411;PIRASSUNUNGA;PIRASSUNUNGA;1;920381;HENRIQUE FERREIRA DOS REIS PROFESSOR;8;0;0;0;98,79;0,91;0,3;0;0;0
2022;20411;PIRASSUNUNGA;PORTO FERREIRA;1;21325;WASHINGTON LUIZ;8;0;0;0;87,08;12,92;0;88,04;11,83;0,13
2022;20413;SAO JOAO DA BOA VISTA;AGUAI;1;20722;EGLE LUPORINI COSTA PROFESSORA;8;0;0;0;93,78;6,22;0;90,35;9,65;0
2022;20413;SAO JOAO DA BOA VISTA;AGUAI;1;917928;CONJUNTO HABITACIONAL DONA DOSANJOS MACEDO;8;100;0;0;0;0;0;0;0;0
2022;20413;SAO JOAO DA BOA VISTA;CACONDE;1;19240;OSCAR WALDOMIRO DE VASCONCELLOS PROFESSOR;8;97,73;2,27;0;95,74;4,26;0;92,31;7,69;0
2022;20413;SAO JOAO DA BOA VISTA;ITOBI;1;19124;RITA DE MACEDO BARRETO PROFESSORA;8;0;0;0;94,72;4,95;0,33;85,57;11,86;2,57
2022;20413;SAO JOAO DA BOA VISTA;MOCOCA;1;19161;BARAO DE MONTE SANTO;8;0;0;0;100;0;0;100;0;0
2022;20413;SAO JOAO DA BOA VISTA;MOCOCA;1;905537;NANCY DE REZENDE ZAMARIAN PROFESSORA;8;100;0;0;0;0;0;0;0;0
2022;20413;SAO JOAO DA BOA VISTA;SAO JOAO DA BOA VISTA;1;20692;CRISTIANO OSORIO DE OLIVEIRA CORONEL;8;0;0;0;99,66;0,34;0;97,95;2,05;0
2022;20413;SAO JOAO DA BOA VISTA;SAO JOAO DA BOA VISTA;1;900461;ISAURA TEIXEIRA VASCONCELLOS PROFESSORA;8;0;0;0;98,01;0;1,99;94,21;0;5,79
2022;20413;SAO JOAO DA BOA VISTA;SAO JOSE DO RIO PARDO;1;19100;JOAO GABRIEL RIBEIRO DOUTOR;8;99,64;0,36;0;98,64;1,36;0;0;0;0
2022;20413;SAO JOAO DA BOA VISTA;SAO JOSE DO RIO PARDO;1;921701;CONJUNTO HABITACIONAL NATAL MERLI;8;100;0;0;0;0;0;0;0;0
2022;20415;SUMARE;HORTOLANDIA;1;47806;RAQUEL SAES MELHADO DA SILVA PROFESSORA;8;0;0;0;98,19;1,81;0;94,75;5,25;0
2022;20415;SUMARE;HORTOLANDIA;1;900527;PAULINA ROSA PROFESSORA;8;0;0;0;99,2;0,4;0,4;100;0;0
2022;20415;SUMARE;SUMARE;1;45585;MANUEL ALBALADEJO FERNANDES;8;0;0;0;97,72;1,66;0,62;94,95;2,52;2,53
2022;20415;SUMARE;SUMARE;1;909609;LEONILDA ROSSI BARRIQUELO PROFESSORA;8;100;0;0;100;0;0;98,77;1,23;0
2022;20415;SUMARE;SUMARE;1;914940;SAVINO CAMPIGLI;8;0;0;0;99,64;0,36;0;0;0;0
2022;20415;SUMARE;SUMARE;1;924982;IVANI APARECIDA QUEIROZ PEREZ PROFESSORA;8;97,89;2,11;0;0;0;0;0;0;0
2022;20415;SUMARE;SUMARE;1;925731;SONIA MARIA MASCHIO BAPTISTA PROFESSORA;8;0;0;0;99,54;0,46;0;98,58;1,42;0
2022;20417;CAMPINAS LESTE;CAMPINAS;1;18144;CRISTIANO VOLKART;8;100;0;0;0;0;0;0;0;0
2022;20417;CAMPINAS LESTE;CAMPINAS;1;18211;JOSE VILAGELIN NETO PROFESSOR;8;0;0;0;96,56;3,44;0;90,94;9,06;0
