ANO_LETIVO;NM_DIRETORIA;NM_MUNICIPIO;CD_REDE_ENSINO;APR_1;REP_1;ABA_1;APR_2;REP_2;ABA_2;APR_3;REP_3;ABA_3
2021;ADAMANTINA;ADAMANTINA;1;0;0;0;100;0;0;99,84;0;0,16
2021;ADAMANTINA;DRACENA;1;0;0;0;100;0;0;100;0;0
2021;ADAMANTINA;FLORA RICA;1;0;0;0;0;0;0;100;0;0
2021;ADAMANTINA;FLORIDA PAULISTA;1;0;0;0;100;0;0;100;0;0
2021;ADAMANTINA;INUBIA PAULISTA;1;0;0;0;100;0;0;98,63;1,37;0
2021;ADAMANTINA;IRAPURU;1;75;25;0;96,69;3,31;0;94,92;5,08;0
2021;ADAMANTINA;JUNQUEIROPOLIS;1;0;0;0;99,78;0,22;0;99,62;0,38;0
2021;ADAMANTINA;LUCELIA;1;0;0;0;100;0;0;100;0;0
2021;ADAMANTINA;MARIAPOLIS;1;0;0;0;100;0;0;100;0;0
2021;ADAMANTINA;MONTE CASTELO;1;0;0;0;100;0;0;100;0;0
2021;ADAMANTINA;NOVA GUATAPORANGA;1;0;0;0;100;0;0;98,36;1,64;0
2021;ADAMANTINA;OSVALDO CRUZ;1;0;0;0;100;0;0;99,58;0,42;0
2021;ADAMANTINA;OURO VERDE;1;0;0;0;0;0;0;100;0;0
2021;ADAMANTINA;PACAEMBU;1;0;0;0;99,74;0,26;0;97,73;2,27;0
2021;ADAMANTINA;PANORAMA;1;0;0;0;100;0;0;100;0;0
2021;ADAMANTINA;PAULICEIA;1;0;0;0;96,38;3,62;0;89,13;10,87;0
2021;ADAMANTINA;PRACINHA;1;0;0;0;100;0;0;100;0;0
2021;ADAMANTINA;SAGRES;1;0;0;0;100;0;0;98,48;0;1,52
2021;ADAMANTINA;SALMOURAO;1;0;0;0;100;0;0;100;0;0
2021;ADAMANTINA;SANTA MERCEDES;1;0;0;0;100;0;0;100;0;0
2021;ADAMANTINA;SAO JOAO DO PAU D'ALHO;1;0;0;0;100;0;0;100;0;0
2021;ADAMANTINA;TUPI PAULISTA;1;0;0;0;0;0;0;97,35;2,65;0
2021;AMERICANA;AMERICANA;1;99,74;0,24;0,02;98,34;1,59;0,07;94,35;5,11;0,54
2021;AMERICANA;NOVA ODESSA;1;0;0;0;99,78;0,22;0;99,11;0,82;0,07
2021;AMERICANA;SANTA BARBARA D'OESTE;1;99,54;0,07;0,39;99,1;0,5;0,4;95,59;2,92;1,49
2021;ANDRADINA;ANDRADINA;1;0;0;0;99,63;0,37;0;99,25;0,75;0
2021;ANDRADINA;CASTILHO;1;0;0;0;100;0;0;100;0;0
2021;ANDRADINA;GUARACAI;1;0;0;0;99,4;0,6;0;99,04;0,96;0
2021;ANDRADINA;ILHA SOLTEIRA;1;0;0;0;99,79;0,21;0;99,74;0,26;0
2021;ANDRADINA;ITAPURA;1;0;0;0;99,51;0,49;0;98,57;1,43;0
2021;ANDRADINA;LAVINIA;1;0;0;0;0;0;0;99,44;0,56;0
2021;ANDRADINA;MIRANDOPOLIS;1;0;0;0;100;0;0;100;0;0
2021;ANDRADINA;MURUTINGA DO SUL;1;0;0;0;100;0;0;100;0;0
2021;ANDRADINA;NOVA INDEPENDENCIA;1;0;0;0;0;0;0;97,97;1,35;0,68
2021;ANDRADINA;PEREIRA BARRETO;1;0;0;0;100;0;0;100;0;0
2021;ANDRADINA;SUD MENNUCCI;1;0;0;0;0;0;0;100;0;0
2021;APIAI;APIAI;1;100;0;0;99,71;0,29;0;99,62;0,38;0
2021;APIAI;BARRA DO CHAPEU;1;0;0;0;100;0;0;100;0;0
2021;APIAI;GUAPIARA;1;0;0;0;100;0;0;99,56;0,44;0
2021;APIAI;IPORANGA;1;0;0;0;100;0;0;100;0;0
2021;APIAI;ITAOCA;1;100;0;0;100;0;0;100;0;0
2021;APIAI;ITAPIRAPUA PAULISTA;1;0;0;0;99,25;0;0,75;98;0;2
