ANO_LETIVO,NM_DIRETORIA,NM_MUNICIPIO,CD_REDE_ENSINO,APR_1,REP_1,ABA_1,APR_2,REP_2,ABA_2,APR_3,REP_3,ABA_3
2020,ITU,BOITUVA,1,0,0,0,0,0,0,100,0,0
2020,ITU,CABREUVA,1,0,0,0,99.4,0.56,0.04,97.13,2.87,0
2020,ITU,CERQUILHO,1,0,0,0,0,0,0,97.27,2.73,0
2020,ITU,IPERO,1,0,0,0,0,0,0,100,0,0
2020,ITU,ITU,1,0,0,0,98.3,1.7,0,97.82,1.72,0.46
2020,ITU,JUMIRIM,1,0,0,0,0,0,0,98.9,1.1,0
2020,ITU,PORTO FELIZ,1,0,0,0,100,0,0,100,0,0
2020,ITU,SALTO,1,99.89,0.11,0,98.35,1.21,0.44,97.16,1.96,0.88
2020,ITU,TIETE,1,0,0,0,0,0,0,99.88,0,0.12
2020,JABOTICABAL,BEBEDOURO,1,0,0,0,99.71,0,0.29,98.97,0.06,0.97
2020,JABOTICABAL,GUARIBA,1,0,0,0,0,0,0,100,0,0
2020,JABOTICABAL,GUATAPARA,1,0,0,0,0,0,0,100,0,0
2020,JABOTICABAL,JABOTICABAL,1,0,0,0,99.88,0,0.12,98.88,0,1.12
2020,JABOTICABAL,MONTE ALTO,1,0,0,0,99.87,0,0.13,99.53,0,0.47
2020,SAO CARLOS,RIBEIRAO BONITO,1,0,0,0,0,0,0,100,0,0
2020,SAO CARLOS,SAO CARLOS,1,99.97,0,0.03,99.95,0,0.05,99.77,0.04,0.19
2020,SAO JOAO DA BOA VISTA,AGUAI,1,100,0,0,99.9,0.1,0,99.87,0.13,0
2020,SAO JOAO DA BOA VISTA,AGUAS DA PRATA,1,0,0,0,100,0,0,100,0,0
2020,SAO JOAO DA BOA VISTA,CACONDE,1,100,0,0,100,0,0,100,0,0
2020,SAO JOAO DA BOA VISTA,CASA BRANCA,1,0,0,0,98.02,1.98,0,97.27,2.51,0.22
2020,SAO JOAO DA BOA VISTA,DIVINOLANDIA,1,0,0,0,86.77,1.59,11.64,84.85,4.85,10.3
2020,SAO JOAO DA BOA VISTA,ESPIRITO SANTO DO PINHAL,1,99.34,0.66,0,99.4,0.4,0.2,97.66,0.71,1.63
2020,SAO JOAO DA BOA VISTA,ITOBI,1,99.2,0.4,0.4,100,0,0,99.39,0.61,0
2020,SAO JOAO DA BOA VISTA,MOCOCA,1,100,0,0,99.52,0.48,0,98,1.8,0.2
2020,SAO JOAO DA BOA VISTA,SANTO ANTONIO DO JARDIM,1,100,0,0,98.47,1.53,0,94.71,5.29,0
2020,SAO JOAO DA BOA VISTA,SAO JOAO DA BOA VISTA,1,0,0,0,100,0,0,100,0,0
2020,SAO JOAO DA BOA VISTA,SAO JOSE DO RIO PARDO,1,99.68,0.32,0,98.07,1.93,0,97.19,2.81,0
2020,SAO JOAO DA BOA VISTA,SAO SEBASTIAO DA GRAMA,1,0,0,0,98.88,1.12,0,98.78,1.22,0
2020,SAO JOAO DA BOA VISTA,TAMBAU,1,0,0,0,100,0,0,100,0,0
2020,SAO JOAO DA BOA VISTA,TAPIRATIBA,1,0,0,0,100,0,0,99.62,0.38,0
2020,SAO JOAO DA BOA VISTA,VARGEM GRANDE DO SUL,1,0,0,0,99.79,0.21,0,97.13,2.61,0.26
2020,SAO JOAQUIM DA BARRA,ARAMINA,1,0,0,0,92.93,7.07,0,94.44,5.56,0
2020,SAO JOAQUIM DA BARRA,BURITIZAL,1,0,0,0,0,0,0,100,0,0
2020,SAO JOAQUIM DA BARRA,GUARA,1,0,0,0,0,0,0,98.47,0,1.53
2020,SAO JOAQUIM DA BARRA,IGARAPAVA,1,0,0,0,0,0,0,100,0,0
2020,SAO JOAQUIM DA BARRA,IPUA,1,0,0,0,0,0,0,100,0,0
2020,SAO JOAQUIM DA BARRA,ITUVERAVA,1,0,0,0,0,0,0,92.45,7.55,0
2020,SAO JOAQUIM DA BARRA,MIGUELOPOLIS,1,0,0,0,0,0,0,99.41,0.59,0
2020,SAO JOAQUIM DA BARRA,MORRO AGUDO,1,0,0,0,99.65,0.35,0,100,0,0
2020,SAO JOAQUIM DA BARRA,NUPORANGA,1,0,0,0,0,0,0,96.2,0,3.8
2020,SAO JOAQUIM DA BARRA,ORLANDIA,1,0,0,0,0,0,0,96.67,3.33,0
2020,SAO JOAQUIM DA BARRA,SALES OLIVEIRA,1,0,0,0,98.26,1.74,0,97.38,2.62,0
2020,SAO JOAQUIM DA BARRA,SAO JOAQUIM DA BARRA,1,99.87,0.13,0,98.53,1.47,0,98.42,1.58,0
2020,SAO JOSE DO RIO PRETO,BADY BASSITT,1,0,0,0,99.69,0.31,0,99.82,0.18,0
2020,SAO JOSE DO RIO PRETO,CEDRAL,1,0,0,0,0,0,0,100,0,0
2020,SAO JOSE DO RIO PRETO,GUAPIACU,1,0,0,0,0,0,0,93.45,6.55,0
2020,SAO JOSE DO RIO PRETO,IBIRA,1,0,0,0,0,0,0,99.67,0,0.33
2020,SAO JOSE DO RIO PRETO,ICEM,1,0,0,0,0,0,0,100,0,0
2020,SAO JOSE DO RIO PRETO,IPIGUA,1,0,0,0,100,0,0,100,0,0
2020,SAO JOSE DO RIO PRETO,MIRASSOLANDIA,1,0,0,0,100,0,0,100,0,0
2020,SAO JOSE DO RIO PRETO,NOVA GRANADA,1,0,0,0,99.66,0.34,0,91.01,8.62,0.37
2020,SAO JOSE DO RIO PRETO,ONDA VERDE,1,0,0,0,98.62,1.38,0,99.39,0.61,0
2020,SAO JOSE DO RIO PRETO,ORINDIUVA,1,0,0,0,0,0,0,99.47,0.53,0
2020,SAO JOSE DO RIO PRETO,PALESTINA,1,0,0,0,0,0,0,95.24,4.76,0
2020,SAO JOSE DO RIO PRETO,POTIRENDABA,1,0,0,0,0,0,0,90.97,9.03,0
2020,SAO JOSE DO RIO PRETO,SAO JOSE DO RIO PRETO,1,0,0,0,99.46,0.54,0,98.84,1.04,0.12
2020,SAO JOSE DO RIO PRETO,UCHOA,1,0,0,0,0,0,0,91.27,8.73,0
2020,SAO JOSE DOS CAMPOS,MONTEIRO LOBATO,1,0,0,0,100,0,0,96.21,3.79,0
2020,SAO JOSE DOS CAMPOS,SAO JOSE DOS CAMPOS,1,99.18,0.54,0.28,98.57,0.95,0.48,97.17,2.28,0.55
