ANO_LETIVO;NM_DIRETORIA;NM_MUNICIPIO;CD_REDE_ENSINO;APR_1;REP_1;ABA_1;APR_2;REP_2;ABA_2;APR_3;REP_3;ABA_3
2022;ADAMANTINA;ADAMANTINA;1;0;0;0;99,61;0,29;0,1;98,97;0,83;0,2
2022;ADAMANTINA;DRACENA;1;0;0;0;97,72;1,74;0,54;97,75;1,86;0,39
2022;ADAMANTINA;FLORA RICA;1;0;0;0;0;0;0;100;0;0
2022;ADAMANTINA;FLORIDA PAULISTA;1;0;0;0;100;0;0;100;0;0
2022;ADAMANTINA;INUBIA PAULISTA;1;0;0;0;99,35;0,65;0;100;0;0
2022;ADAMANTINA;IRAPURU;1;100;0;0;92,77;4,42;2,81;92,67;1,33;6
2022;ADAMANTINA;JUNQUEIROPOLIS;1;0;0;0;99,89;0,11;0;97,73;2,27;0
2022;ADAMANTINA;LUCELIA;1;0;0;0;100;0;0;99,47;0,53;0
2022;ADAMANTINA;MARIAPOLIS;1;0;0;0;100;0;0;92,77;7,23;0
2022;ADAMANTINA;MONTE CASTELO;1;0;0;0;98,8;1,2;0;98,32;1,68;0
2022;ADAMANTINA;NOVA GUATAPORANGA;1;0;0;0;100;0;0;100;0;0
2022;ADAMANTINA;OSVALDO CRUZ;1;0;0;0;98,77;1,23;0;97,07;2,48;0,45
2022;ADAMANTINA;OURO VERDE;1;0;0;0;0;0;0;96,57;3,43;0
2022;ADAMANTINA;PACAEMBU;1;0;0;0;97,41;2,07;0,52;85,46;14,1;0,44
2022;ADAMANTINA;PANORAMA;1;0;0;0;96,97;2,02;1,01;87,9;5,68;6,42
2022;ADAMANTINA;PAULICEIA;1;0;0;0;99,03;0,97;0;94,94;5,06;0
2022;ADAMANTINA;PRACINHA;1;0;0;0;100;0;0;100;0;0
2022;ADAMANTINA;SAGRES;1;0;0;0;100;0;0;98,28;1,72;0
2022;ADAMANTINA;SALMOURAO;1;0;0;0;100;0;0;92;8;0
2022;ADAMANTINA;SANTA MERCEDES;1;0;0;0;100;0;0;100;0;0
2022;ADAMANTINA;SAO JOAO DO PAU D'ALHO;1;0;0;0;100;0;0;100;0;0
2022;ADAMANTINA;TUPI PAULISTA;1;0;0;0;0;0;0;97,91;1,67;0,42
2022;AMERICANA;AMERICANA;1;99,55;0,36;0,09;97,13;2,23;0,64;90,47;7,09;2,44
2022;AMERICANA;NOVA ODESSA;1;0;0;0;99,24;0,54;0,22;98,03;1,26;0,71
2022;AMERICANA;SANTA BARBARA D'OESTE;1;100;0;0;98,27;1,01;0,72;89,25;5,54;5,21
2022;ANDRADINA;ANDRADINA;1;0;0;0;98,74;1,12;0,14;97,21;2,41;0,38
2022;ANDRADINA;CASTILHO;1;0;0;0;98,53;1,47;0;95,71;4,29;0
2022;ANDRADINA;GUARACAI;1;0;0;0;99,37;0,31;0,32;95,65;3,26;1,09
2022;ANDRADINA;ILHA SOLTEIRA;1;0;0;0;99,39;0,51;0,1;89,28;8,58;2,14
2022;ANDRADINA;ITAPURA;1;0;0;0;99,51;0,49;0;87,83;12,17;0
2022;ANDRADINA;LAVINIA;1;0;0;0;0;0;0;100;0;0
2022;ANDRADINA;MIRANDOPOLIS;1;0;0;0;100;0;0;99,44;0,37;0,19
2022;ANDRADINA;MURUTINGA DO SUL;1;0;0;0;100;0;0;99,01;0,99;0
2022;ANDRADINA;NOVA INDEPENDENCIA;1;0;0;0;0;0;0;97,47;2,53;0
2022;ANDRADINA;PEREIRA BARRETO;1;0;0;0;100;0;0;99,34;0,66;0
2022;ANDRADINA;SUD MENNUCCI;1;0;0;0;0;0;0;95,4;4,6;0
2022;APIAI;APIAI;1;99,6;0,27;0,13;98,93;0,38;0,69;96,2;1,96;1,84
2022;APIAI;BARRA DO CHAPEU;1;0;0;0;100;0;0;95,67;0,87;3,46
2022;APIAI;GUAPIARA;1;0;0;0;99,85;0,15;0;98,31;1,69;0
2022;APIAI;IPORANGA;1;0;0;0;98,17;1,83;0;99,37;0,63;0
2022;APIAI;ITAOCA;1;100;0;0;98,95;0,52;0,53;100;0;0
2022;APIAI;ITAPIRAPUA PAULISTA;1;0;0;0;96,19;0,42;3,39;95,48;0,45;4,07
2022;APIAI;RIBEIRA;1;0;0;0;99,59;0,41;0;100;0;0
2022;APIAI;RIBEIRAO BRANCO;1;0;0;0;99,34;0,25;0,41;96,74;2,96;0,3
2022;ARACATUBA;ARACATUBA;1;100;0;0;99,43;0,38;0,19;98,11;1,41;0,48
2022;ARACATUBA;BENTO DE ABREU;1;0;0;0;100;0;0;100;0;0
2022;ARACATUBA;GUARARAPES;1;0;0;0;100;0;0;98,89;0,32;0,79
2022;ARACATUBA;RUBIACEA;1;0;0;0;99,32;0,68;0;100;0;0
2022;ARACATUBA;SANTO ANTONIO DO ARACANGUA;1;0;0;0;0;0;0;100;0;0
2022;ARACATUBA;VALPARAISO;1;0;0;0;100;0;0;96,06;3,94;0
2022;ARARAQUARA;AMERICO BRASILIENSE;1;0;0;0;97,66;2,18;0,16;96;3,9;0,1
2022;ARARAQUARA;ARARAQUARA;1;99,89;0,04;0,07;98,36;1,28;0,36;90,54;7,44;2,02
2022;ARARAQUARA;BOA ESPERANCA DO SUL;1;0;0;0;0;0;0;91,3;8,7;0
2022;ARARAQUARA;GAVIAO PEIXOTO;1;0;0;0;0;0;0;100;0;0
2022;ARARAQUARA;MATAO;1;99,89;0,11;0;98,89;1,11;0;96,16;3,84;0
2022;ARARAQUARA;MOTUCA;1;0;0;0;0;0;0;92,06;7,94;0
2022;ARARAQUARA;NOVA EUROPA;1;0;0;0;0;0;0;99,67;0,33;0
2022;ARARAQUARA;RINCAO;1;0;0;0;86,61;9,45;3,94;74,74;9,56;15,7
2022;ARARAQUARA;SANTA LUCIA;1;0;0;0;94,58;5,42;0;83,71;10,41;5,88
2022;ARARAQUARA;TRABIJU;1;0;0;0;0;0;0;98,17;1,83;0
2022;ASSIS;ASSIS;1;0;0;0;96,96;2,86;0,18;90,06;9,85;0,09
2022;ASSIS;BORA;1;0;0;0;100;0;0;100;0;0
2022;ASSIS;CANDIDO MOTA;1;99,81;0,19;0;99,7;0,3;0;95,45;4,4;0,15
2022;ASSIS;CRUZALIA;1;0;0;0;100;0;0;100;0;0
2022;ASSIS;FLORÍNEA;1;100;0;0;97,04;2,96;0;98,61;1,39;0
2022;ASSIS;IEPE;1;0;0;0;99,73;0,27;0;96,44;3,16;0,4
2022;ASSIS;LUTECIA;1;0;0;0;100;0;0;93,67;3,8;2,53
2022;ASSIS;MARACAI;1;0;0;0;99,1;0,9;0;97,88;2,12;0
2022;ASSIS;NANTES;1;0;0;0;99,37;0,63;0;97,87;2,13;0
2022;ASSIS;PALMITAL;1;0;0;0;93,11;6,78;0,11;86,58;13,2;0,22
2022;ASSIS;PARAGUACU PAULISTA;1;0;0;0;97,83;2,17;0;95,83;4,17;0
2022;ASSIS;PEDRINHAS PAULISTA;1;0;0;0;100;0;0;100;0;0
2022;ASSIS;PLATINA;1;0;0;0;92,68;7,32;0;96,1;3,9;0
2022;ASSIS;TARUMA;1;0;0;0;98,88;1,12;0;89,98;10,02;0
2022;AVARE;AGUAS DE SANTA BARBARA;1;0;0;0;100;0;0;100;0;0
2022;AVARE;ARANDU;1;0;0;0;99,16;0,56;0,28;94,47;2,01;3,52
2022;AVARE;AVARE;1;0;0;0;96,75;2,25;1;85,87;9,21;4,92
2022;AVARE;CERQUEIRA CESAR;1;0;0;0;98,46;1,54;0;97,82;2,18;0
2022;AVARE;IARAS;1;100;0;0;97,78;2,22;0;94,37;5,63;0
2022;AVARE;ITAI;1;0;0;0;99,12;0,88;0;97,46;2,01;0,53
2022;AVARE;TAQUARITUBA;1;0;0;0;99,07;0,37;0,56;97,15;0,17;2,68
2022;BARRETOS;ALTAIR;1;0;0;0;99,49;0;0,51;100;0;0
2022;BARRETOS;BARRETOS;1;0;0;0;99,69;0,11;0,2;98,25;0,72;1,03
2022;BARRETOS;COLINA;1;0;0;0;0;0;0;100;0;0
2022;BARRETOS;COLOMBIA;1;0;0;0;0;0;0;95,6;4,4;0
2022;BARRETOS;GUAIRA;1;0;0;0;99,25;0,75;0;96,88;3,12;0
2022;BARRETOS;GUARACI;1;0;0;0;0;0;0;100;0;0
2022;BARRETOS;JABORANDI;1;0;0;0;0;0;0;100;0;0
2022;BARRETOS;OLIMPIA;1;0;0;0;99,96;0;0,04;99,87;0,13;0
2022;BARRETOS;SEVERINIA;1;0;0;0;0;0;0;97,26;2,74;0
2022;BAURU;AGUDOS;1;0;0;0;99;1;0;97,89;2,11;0
2022;BAURU;AREALVA;1;0;0;0;97,11;2,1;0,79;87,78;9,95;2,27
2022;BAURU;AVAI;1;95,65;4,35;0;98,42;0,79;0,79;97,37;1,32;1,31
2022;BAURU;BALBINOS;1;0;0;0;100;0;0;100;0;0
2022;BAURU;BAURU;1;99,08;0,79;0,13;96,38;2,68;0,94;87,87;7,89;4,24
2022;BAURU;CABRALIA PAULISTA;1;0;0;0;93,55;5,53;0,92;92,86;3,17;3,97
2022;BAURU;DUARTINA;1;0;0;0;96,12;2,8;1,08;94,4;3,36;2,24
2022;BAURU;IACANGA;1;0;0;0;0;0;0;87,72;4,39;7,89
2022;BAURU;LENCOIS PAULISTA;1;0;0;0;98,09;1,91;0;97,7;1,63;0,67
