CODIGO CIE;CODIGO INEP;ESCOLA;DIRETORIA;MUNICIPIO;ANOS INICIAIS;ANOS FINAIS;ENSINO MEDIO
12;35000012;AYRES DE MOURA PROFESSOR;NORTE 1;SAO PAULO;;4,21;
24;35000024;GAVIAO PEIXOTO BRIGADEIRO;NORTE 1;SAO PAULO;4,05;3,07;1,93
36;35000036;JOAO SOLIMEO;NORTE 1;SAO PAULO;;3,07;1,70
48;35000048;WALFREDO ARANTES CALDAS PROFESSOR;NORTE 1;SAO PAULO;;;1,96
59;35000059;SEBASTIAO DE OLIVEIRA GUSMAO PROFESSOR;NORTE 1;SAO PAULO;;;1,93
61;35000061;SUZANA DE CAMPOS DONA;NORTE 1;SAO PAULO;4,90;;
73;35000073;JULIO DE FARIA E SOUZA PROFESSOR;NORTE 1;SAO PAULO;4,45;;
85;35000085;JULIO CESAR DE OLIVEIRA PROFESSOR;NORTE 1;SAO PAULO;5,66;;
97;35000097;RENATO DE ARRUDA PENTEADO PROFESSOR;NORTE 1;SAO PAULO;;;1,39
103;35000103;JOAO BOEMER JARDIM PROFESSOR;NORTE 1;SAO PAULO;4,07;;
115;35000115;FRANCISCO FARIA NETO PROFESSOR;NORTE 1;SAO PAULO;3,68;;
127;35000127;JOSE ALTENFELDER SILVA PROFESSOR;NORTE 1;SAO PAULO;5,99;;
139;35000139;MARIANO DE OLIVEIRA PROFESSOR;NORTE 1;SAO PAULO;;3,64;2,78
140;35000140;SILVIO XAVIER ANTUNES PROFESSOR;NORTE 1;SAO PAULO;;3,27;2,52
152;35000152;OCTAVIO MONTEIRO DE CASTRO PROFESSOR;NORTE 1;SAO PAULO;5,67;;
164;35000164;PIO TELLES PEIXOTO PROFESSOR;NORTE 1;SAO PAULO;;3,54;2,54
176;35000176;ZENAIDE VILALVA DE ARAUJO PROFESSORA;NORTE 1;SAO PAULO;;3,27;2,87
188;35000188;ANTONIO CANDIDO CORREA GUIMARAES FILHO PROFESSOR;NORTE 1;SAO PAULO;;3,53;2,39
197;35000197;AGENOR COUTO DE MAGALHAES DOUTOR;NORTE 1;SAO PAULO;;3,11;2,02
206;35000206;ALIPIO DE BARROS PROFESSOR;NORTE 1;SAO PAULO;5,02;;
218;35000218;ANTONIO FRANCISCO REDONDO PROFESSOR;NORTE 1;SAO PAULO;;;2,21
224;35000224;CANDIDO GONCALVES GOMIDE PROFESSOR;NORTE 1;SAO PAULO;;2,94;1,91
231;35000231;CHIQUINHA RODRIGUES;NORTE 1;SAO PAULO;4,93;;
243;35000243;ISABEL VIEIRA DE SERPA E PAIVA PROFESSORA;NORTE 1;SAO PAULO;4,71;;
255;35000255;CLODOMIRO CARNEIRO;NORTE 1;SAO PAULO;;3,06;2,44
267;35000267;ERMANO MARCHETTI;NORTE 1;SAO PAULO;;3,54;2,22
279;35000279;GALDINO LOPES CHAGAS PROFESSOR;NORTE 1;SAO PAULO;4,74;;
280;35000280;HUMBERTO DE SOUZA MELLO GENERAL;NORTE 1;SAO PAULO;;3,42;2,16
292;35000292;DALILA DE ANDRADE COSTA PROFESSORA;NORTE 1;SAO PAULO;3,64;;
309;35000309;BENEDITO TOLOSA PROFESSOR;CENTRO;SAO PAULO;4,34;3,38;2,06
310;35000310;ARY BARROSO;CENTRO;SAO PAULO;4,73;;
322;35000322;PEDRO MONTEIRO DO AMARAL CAPITAO;CENTRO;SAO PAULO;;3,24;2,41
334;35000334;MANUEL DA NOBREGA PADRE;CENTRO;SAO PAULO;;3,86;2,74
346;35000346;MANOEL DA NOBREGA PADRE;NORTE 1;SAO PAULO;5,74;;
358;35000358;MATILDE MACEDO SOARES;CENTRO;SAO PAULO;4,27;3,20;
361;35000361;PASQUALE PECCICACCO;NORTE 1;SAO PAULO;5,07;;
371;35000371;ANTONIO JOSE LEITE PROF;NORTE 2;SAO PAULO;;3,16;2,37
383;35000383;ANTOINE DE SAINT EXUPERY;CENTRO;SAO PAULO;;3,39;2,46
395;35000395;JOAQUIM LUIZ DE BRITO PROFESSOR;NORTE 1;SAO PAULO;;3,85;2,07
401;35000401;MARQUES DE TAMANDARE ALMIRANTE;NORTE 1;SAO PAULO;;3,49;2,29
413;35000413;JOAQUIM SILVADO DOUTOR;NORTE 1;SAO PAULO;;3,79;2,54
425;35000425;REPUBLICA DO CHILE;NORTE 2;SAO PAULO;5,66;;
437;35000437;ANGELINA MADUREIRA PROFESSORA;CENTRO;SAO PAULO;5,81;;
449;35000449;TAUNAY VISCONDE DE;CENTRO;SAO PAULO;5,38;;
450;35000450;AUGUSTO RIBEIRO DE CARVALHO PROFESSOR;NORTE 1;SAO PAULO;;3,75;2,86
462;35000462;AUGUSTO MEIRELLES REIS FILHO PROFESSOR;CENTRO;SAO PAULO;;3,20;1,60
474;35000474;MATHIAS AIRES;NORTE 1;SAO PAULO;5,59;;
498;35000498;LUIZ GONZAGA RIGHINI PROFESSOR;CENTRO;SAO PAULO;;3,50;1,96
504;35000504;MARIO TEIXEIRA MARIANO PROFESSOR;CENTRO;SAO PAULO;5,55;;
516;35000516;JOSE CARLOS DIAS PROFESSOR;CENTRO;SAO PAULO;5,24;;
528;35000528;COLOMBO DE ALMEIDA PROFESSOR;CENTRO;SAO PAULO;;3,09;2,19
536;35000536;TARCISIO ALVARES LOBO;CENTRO;SAO PAULO;;2,67;2,25
541;35000541;JOAQUIM NABUCO;CENTRO;SAO PAULO;5,25;;
553;35000553;JACOMO STAVALE PROFESSOR;NORTE 1;SAO PAULO;;3,32;3,11
565;35000565;NOSSA SENHORA DO RETIRO;NORTE 1;SAO PAULO;4,61;;
577;35000577;DULCE FERREIRA BOARIN PROFESSORA;CENTRO;SAO PAULO;;3,84;
589;35000589;PLINIO DAMASCO PENNA PROFESSOR;NORTE 1;SAO PAULO;;4,29;
590;35000590;PAULO SETUBAL;CENTRO;SAO PAULO;5,36;;
607;35000607;TITO PRATES DA FONSECA;NORTE 2;SAO PAULO;;3,36;2,25
619;35000619;REGENTE FEIJO;NORTE 1;SAO PAULO;5,59;;
620;35000620;ANTONIO EMILIO SOUZA PENNA PROFESSOR;NORTE 1;SAO PAULO;;3,71;2,21
632;35000632;AUGUSTO DE MACEDO COSTA DOUTOR;NORTE 1;SAO PAULO;5,66;;
644;35000644;PIO XII;NORTE 1;SAO PAULO;6,08;;
656;35000656;FRONTINO GUIMARAES;CENTRO;SAO PAULO;;4,37;
668;35000668;ROMULO PERO PROFESSOR;CENTRO;SAO PAULO;;3,89;2,80
673;35000673;PAULO EGYDIO DE OLIVEIRA CARVALHO SENADOR;LESTE 5;SAO PAULO;;3,49;1,97
681;35000681;TOLEDO BARBOSA;CENTRO;SAO PAULO;4,74;3,81;
693;35000693;RITA BICUDO PEREIRA PROFA;NORTE 2;SAO PAULO;4,30;3,67;2,14
700;35000700;HORACIO LAFER MINISTRO;LESTE 5;SAO PAULO;4,33;;
711;35000711;NARBAL FONTES PROFESSORA;CENTRO;SAO PAULO;;3,86;2,50
723;35000723;OCTAVIO MENDES DOUTOR;CENTRO;SAO PAULO;;3,91;3,11
735;35000735;PAUL HUGON PROF;NORTE 2;SAO PAULO;;3,54;2,35
747;35000747;MARIA MONTESSORI;LESTE 5;SAO PAULO;;3,64;2,75
759;35000759;FLORINDA CARDOSO PROFESSORA;LESTE 5;SAO PAULO;4,95;;
760;35000760;AFRANIO PEIXOTO;CENTRO;SAO PAULO;;4,24;2,53
772;35000772;VISCONDE DE INHAUMA ALMIRANTE;NORTE 2;SAO PAULO;6,17;;
784;35000784;ANESIA SINCORA PROFESSORA;CENTRO;SAO PAULO;3,21;4,03;
796;35000796;HEROIS DA FEB;LESTE 5;SAO PAULO;;2,78;1,78
802;35000802;IMPERATRIZ LEOPOLDINA;LESTE 5;SAO PAULO;;4,33;2,43
814;35000814;RAQUEL ASSIS BARREIROS PROFA;NORTE 2;SAO PAULO;;3,57;2,46
838;35000838;JOAO VIEIRA DE ALMEIDA;LESTE 5;SAO PAULO;;3,17;2,11
848;35000848;JOAQUIM LEME DO PRADO PROFESSOR;CENTRO;SAO PAULO;;3,34;2,52
