;CD_ALUNO;NOMEDEP;NomeDepBol;RegiaoMetropolitana;CDREDE;DE;CODMUN;MUN;CODESC;TIPOCLASSE;SERIE_ANO;TURMA;CLASSE;SEXO;DT_NASCIMENTO;PERIODO;DEF1;DEF2;DEF3;DEF4;DEF5;Tip_PROVA;Tem_Nec;cad_prova_lp;cad_prova_mat;cad_prova_cie;particip_lp;particip_mat;particip_cie;TOTAL_PONTO_LP;TOTAL_PONTO_MAT;TOTAL_PONTO_CIE;porc_ACERT_lp;porc_ACERT_MAT;porc_CIE;profic_lp;profic_mat;profic_cie;nivel_profic_lp;nivel_profic_mat;nivel_profic_cie;classific_lp;classific_mat;classific_cie;validade
815;20055504;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;10285;0;EM3ª série;B;260592837;F;19981119;MANHÃ;11,0;;;;;C;1;19;19;19,0;0;0;0;;;;;;;;;;;;;;;;0
1243;20330006;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;10285;0;EM3ª série;D;260592852;M;20020405;MANHÃ;11,0;;;;;C;1;13;13;13,0;0;0;0;;;;;;;;;;;;;;;;0
4252;21063908;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;10285;0;EM3ª série;E;260592829;M;20040403;NOITE;;;;;;C;0;9;9;9,0;1;1;1;10,0;6,0;11,0;41,7;25,0;45,8;252,3;248,2;257,2;Básico;Abaixo do Básico;Abaixo do Básico;Suficiente;Insuficiente;Insuficiente;1
10152;21688670;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;904181;0;EM3ª série;A;261111041;F;20000218;NOITE;;;;;;C;0;25;25;25,0;0;0;0;;;;;;;;;;;;;;;;1
10395;21718867;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;49086;0;EM3ª série;A;261103717;M;20010312;MANHÃ;;;;;;C;0;22;22;22,0;0;0;0;;;;;;;;;;;;;;;;1
11055;21773202;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;10285;0;EM3ª série;G;266132257;F;20040518;NOITE;;;;;;C;0;23;23;23,0;0;0;0;;;;;;;;;;;;;;;;1
14428;21917390;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;914782;0;EM3ª série;E;262406663;F;20040926;NOITE;;;;;;C;0;24;24;24,0;1;1;1;12,0;16,0;10,0;50,0;66,7;41,7;264,3;324,6;304,4;Básico;Básico;Básico;Suficiente;Suficiente;Suficiente;1
15900;21965528;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;44878;0;EM3ª série;A;261100796;M;20030801;TARDE;;;;;;C;0;20;20;20,0;0;0;1;;;8,0;;;33,3;;;283,0;;;Básico;;;Suficiente;1
16390;22000316;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;902160;0;EM3ª série;B;260631387;M;20040802;NOITE;;;;;;C;0;8;8;8,0;1;1;1;18,0;20,0;15,0;75,0;83,3;62,5;331,3;360,8;349,0;Adequado;Adequado;Básico;Suficiente;Suficiente;Suficiente;1
16828;22024762;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;902160;0;EM3ª série;B;260631387;F;20030908;NOITE;;;;;;C;0;7;7;7,0;1;1;1;11,0;6,0;5,0;45,8;25,0;20,8;259,4;224,3;213,0;Básico;Abaixo do Básico;Abaixo do Básico;Suficiente;Insuficiente;Insuficiente;1
